SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697022322.305495,454,1135.0,80,200.0,50,125.0,0,1,1,32
1697022323.309444,606,635.0,668,625.0,322,292.5,1,3,2,13
1697022324.316062,816,1122.5,918,1245.0,500,655.0,2,2,3,18
1697022325.339133,318,450.0,432,640.0,207,320.0,2,2,3,4
1697022326.343586,1982,2105.0,1584,1500.0,1392,1307.5,4,3,5,17
1697022327.404154,4055,3335.0,2906,1985.0,3494,2835.0,5,4,6,40
1697022328.74474,804,765.0,896,880.0,631,462.5,3,4,4,4
1697022329.766875,888,2220.0,620,1550.0,248,620.0,4,1,5,7
1697022330.77126,4168,10420.0,1584,3960.0,2064,5160.0,6,1,7,31
1697022332.97974,208,520.0,276,690.0,200,500.0,4,3,5,1
1697022333.986635,1466,3665.0,980,2450.0,686,1715.0,5,1,6,14
1697022335.102127,3432,4307.5,1878,2415.0,2389,3567.5,5,2,6,35
1697022336.527413,2296,2895.0,1806,2290.0,1248,1790.0,5,2,6,24
1697022337.74164,1470,1520.0,1672,1640.0,1097,952.5,7,4,8,6
1697022338.802946,2638,2770.0,2194,2100.0,1354,1410.0,7,3,8,16
1697022339.917963,1572,3930.0,998,2495.0,910,2275.0,6,1,7,13
1697022341.158787,212,530.0,350,875.0,147,367.5,2,1,3,4
1697022342.170344,5251,7122.5,2562,3495.0,2781,3575.0,7,2,8,39
1697022344.182471,638,842.5,760,1070.0,458,635.0,2,2,3,13
1697022345.206043,994,780.0,910,625.0,595,435.0,1,4,2,19
1697022346.216452,468,1170.0,80,200.0,52,130.0,0,1,1,36
1697022347.222121,1078,880.0,1308,1105.0,1061,930.0,3,4,4,13
1697022348.252212,1688,1750.0,1632,1475.0,1632,1585.0,3,3,4,22
1697022349.300616,302,220.0,320,200.0,194,155.0,0,4,1,14
1697022350.313848,202,315.0,160,200.0,86,110.0,0,2,1,9
1697022351.315631,4153,10382.5,1774,4435.0,2444,6110.0,8,1,9,35
1697022354.244585,3145,4155.0,1750,2195.0,2269,3257.5,4,2,5,36
1697022355.620743,3507,8767.5,1360,3400.0,1368,3420.0,8,1,9,18
