SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697023305.482528,6374,8102.5,2830,3655.0,2590,3285.0,8,2,9,40
1697023307.389428,5830,7510.0,2888,3840.0,3308,4215.0,8,2,9,40
1697023310.034032,6128,15320.0,2178,5445.0,2892,7230.0,8,1,9,40
1697023313.682614,7174,6120.0,4092,2800.0,3965,4240.0,8,4,9,40
1697023315.583614,6434,6175.0,3584,3200.0,3163,2777.5,8,3,9,40
1697023317.895147,6227,4065.0,4302,2890.0,3806,2555.0,8,4,9,40
1697023319.879459,5569,13922.5,2114,5285.0,3050,7625.0,8,1,9,40
1697023323.764693,6692,5035.0,3726,2495.0,2783,1910.0,8,4,9,40
1697023325.529859,5886,5575.0,3566,3270.0,3146,3080.0,8,3,9,40
1697023327.680756,6775,5605.0,4260,2795.0,3260,2210.0,8,4,9,40
1697023329.587383,6132,5855.0,3536,3065.0,2770,2485.0,8,3,9,40
